GENE_SYMBOL,ctrl,ctrl,ctrl,mod,mod,mod
ZNF254,6.636945428,6.963069293,6.732724468,6.970171472,6.558431418,6.569106721
MCF2L,7.071990762,6.744266632,6.544765538,6.676490868,6.932197699,6.999798549
ZNF83,14.58695197,14.1179957,12.79905766,12.75316406,15.4781067,14.72934728
SEC14L1,9.008050348,8.74765828,7.988875272,8.49539531,9.272934618,9.350009351
CDKN2B-AS1,5.979812705,5.98821365,5.863283267,5.976870596,5.868231332,5.891332024
MIAT,6.170196613,6.567412665,6.433901087,6.535775029,6.376912714,6.601940317
CA5BP1,6.357991521,6.402451508,6.289241374,6.459536762,6.285335884,6.413397987
C17orf51,6.906607002,6.97874297,6.53916966,7.062231049,6.899719259,7.039365435
TWIST2,5.877025172,6.007179145,5.78814491,5.83561703,5.868231332,5.924218326
PVT1,9.414251802,9.724829276,9.011664509,9.644071263,9.47798802,9.661395083
MIR143HG,7.658083834,7.204508119,6.56214405,6.597052017,7.996400768,7.854347384
SNHG5,10.97338525,12.0375521,10.6899624,9.237098931,10.69284897,11.24976149
SNHG6,11.37259264,11.66203092,12.0930145,10.6496456,11.1357821,10.26001135
SPIN3,6.108807877,6.153327337,6.22891458,6.091805284,6.113459092,5.858247127
H19,6.12561242,6.130268705,6.114113827,6.280306529,5.924896962,6.286867674
UBE2E3,6.796818163,6.727093673,6.512441133,8.030363587,7.002405001,7.360244986
PTPN14,5.735738129,5.758071446,5.706400592,5.920343993,5.896738564,5.959157076
XIST,11.47160953,11.73923422,5.999661492,5.920343993,10.36379605,5.959157076
MIR143HG,6.045439524,5.968008097,5.887437872,6.035419353,5.95378038,6.226054025
GALNT9,6.082285609,6.138015448,6.020955803,6.119815308,6.015422684,6.099279859
MALAT1,8.11137037,7.890815706,8.725728935,7.993508502,8.435887442,7.788214841
HAR1A,5.85468998,5.784298227,5.945911629,5.83561703,5.782913898,5.959157076
KHDC1,7.376919043,6.934541599,6.836023107,6.838726523,7.112245713,8.111280935
RNF139-AS1,6.822648025,7.046648357,7.136031528,7.00195484,6.480253338,6.482905649
SMIM13,7.50952042,7.811429648,8.105530595,7.08514979,7.121096677,6.601940317
HOTAIR,6.651266788,6.462320895,6.399744579,6.401257184,6.416393162,6.702884867
HAR1A,7.535469681,7.463074616,7.399360204,7.00982845,7.407030862,7.451793838
AATBC,6.453599639,6.709260885,6.666381052,6.838726523,6.66550829,6.465029678
TUG1,6.483619786,6.369752859,6.944849906,6.304967015,6.311728585,6.142165115
THAP9-AS1,5.979812705,5.968008097,6.281684728,6.148657852,6.258532103,6.078142863
HOTAIR,5.990354894,5.957963986,6.067917994,6.049801559,6.015422684,5.996630517
HIGD1A,6.796818163,6.862371499,7.310593172,7.062231049,7.192764681,7.205807064
OTUD6B-AS1,6.644875805,6.749371247,7.323865281,6.355980007,7.095675656,6.859765307
CLEC2D,10.77948778,11.14511833,11.59172235,10.36134773,10.62467731,9.766655472
PMF1,11.55013075,11.37111347,11.53465131,11.70815674,10.98208854,11.16869494
GNASAS,6.330980615,6.449690819,6.525520575,6.470943279,6.441888677,6.915887734
ZNF90,12.45204502,12.81913483,12.9177281,11.65963122,11.89250026,11.63276253
ANKRD20A12P,5.779991393,5.947649111,5.934162273,5.806894594,5.868231332,5.793579982
MSN,7.130040815,6.396151892,6.550537693,7.327603833,7.45392306,8.304325175
ANP32AP1,11.73590139,11.64279019,11.00068967,11.35375608,11.68760782,11.96777203
SEPT7-AS1,12.2261169,12.23403237,11.81079739,12.12941159,12.302602,13.01560657
IPO7,8.477628123,8.855996323,9.063038657,8.467561823,8.769651278,8.355001721
DST,6.179894579,6.186361595,6.07795982,6.164001516,6.047061249,6.286867674
PIEZO1,15.68384084,15.95641329,15.55735333,15.65312159,15.95012453,15.62846358
FAM199X,6.803512859,6.794666312,7.356388954,6.636344745,6.881760562,6.718606058
BRK1,12.87462944,13.00009799,13.02207733,13.08537654,12.70080242,13.0048047
ANKRD33B,7.439735794,7.341953856,7.313731595,7.708192061,8.021903932,8.28177434
FAM105A,6.390488103,6.555892598,6.556045929,6.856763244,6.467034636,6.342861747
THAP9-AS1,6.090475095,6.107612838,6.447661595,6.006922777,6.232153355,5.907765895
NUP50-AS1,7.146950307,6.987491244,7.216877334,6.778161436,7.292143983,7.413742633
TLE1,6.298409298,6.248591476,6.281684728,6.470943279,6.480253338,6.306478114
RNF213,8.82914051,8.298445508,8.155992683,9.246827071,10.57176414,8.76830481
CCDC149,6.459934824,6.668043926,6.732724468,6.768779612,6.66550829,6.635909611
NFU1,7.500636927,7.527761714,8.107766242,7.472493452,7.171748536,7.403699745
RPS24,6.143944061,5.947649111,6.147001052,5.920343993,6.130268705,5.924218326
TAPT1-AS1,7.042057835,6.627596198,6.709044208,6.401257184,6.838672504,6.766585499
MIR221,5.877025172,5.856327349,5.934162273,5.920343993,5.812112834,5.858247127
